time,posx,posy,posz,vx,vy,vz,ax,ay,az
7.85,-302.0539793,-2138.634787,0.013118288,36.97834778,0.032835554,0.2771492,3.024559736,1.578816295,0.021001022
7.9,-302.0671702,-2140.487556,0.013106632,37.12910461,0.03584937,0.278274834,3.013529539,1.788102627,0.022892842
7.95,-302.0761385,-2142.347875,0.013095902,37.27935791,0.038806856,0.279238671,3.003111362,1.996215105,0.018975869
8,-302.0803401,-2144.215711,0.013082338,37.4290657,0.041724086,0.28027764,2.991848707,2.205682516,0.019703388
8.05,-302.0792307,-2146.091022,0.013071596,37.57822037,0.044390738,0.281424582,2.980363369,2.411201239,0.021277713
8.1,-302.0722675,-2147.973766,0.013060212,37.72685242,0.046871282,0.282423496,2.969521046,2.615925789,0.018390771
8.15,-302.0589055,-2149.863893,0.013047908,37.87491989,0.049262282,0.283479661,2.957847834,2.821438789,0.018438134
8.2,-302.0386025,-2151.761348,0.013036489,38.02241898,0.051456641,0.284600973,2.946068048,3.024766207,0.019495489
8.25,-302.0108178,-2153.666072,0.013025579,38.16937256,0.053492531,0.285634488,2.934738636,3.227879763,0.01740835
8.3,-301.9750084,-2155.577995,0.013013339,38.31575012,0.055441089,0.28668049,2.922746897,3.432578325,0.016959403
8.35,-301.9311182,-2157.477821,0.013002255,38.46008682,0.05724496,0.287779748,2.910607338,3.636750221,0.017656241
8.4,-301.8777166,-2159.403848,0.01295016,38.60441208,0.060441073,0.293742865,2.880336285,3.884382248,0.172249332
8.45,-301.8145532,-2161.336908,0.012787134,38.74768829,0.065847091,0.303019285,2.853772879,4.215655804,0.839805663
8.5,-301.7376065,-2163.354609,0.014483324,38.89759827,0.068518661,0.306984067,2.867923498,4.326275826,1.053516746
8.55,-301.6563353,-2165.223171,0.018669105,38.98259735,0.066414274,0.306183875,1.756940126,4.454670906,0.748329937
8.6,-301.5662196,-2167.180335,0.022498206,39.42328644,-0.086994104,0.262270629,8.801939011,3.771701336,0.816092074
